,0,1
208,Notre-Dame , Guy
209,Gouin,de Bruchési
210,Montcalm , de Maisonneuve
211,Waverly , Van Horne
212,St-Zotique , Clark
213,de l'Hotel-de-Ville , Ontario
214,Ste-Catherine , Dezery
215,Gauthier , de Lorimier
216,Argyle , Bannantyne
217,3e avenue , Holt
218,St-André , Ontario
219,Hutchison , Van Horne
220,St-Dominique , Jean-Talon
221,du Rosaire , St-Hubert
222,Kirkfield , de Chambois
223,Mozart , St-Laurent
224,LaSalle,Henri-Duhamel
225,Ste-Catherine , St-Laurent
226,St-André , Ste-Catherine
227,Montcalm , Ontario
228,Fullum,Sherbrooke
229,Parc St-Laurent,
230,Cartier , Masson
231,Villeneuve , du Parc
232,Maguire , St-Laurent
233,de la Roche , Everett
234,Mackay , Ste-Catherine
235,Léo-Lacombe,
236,Drolet , Marie-Anne
237,Labadie , du Parc
238,Sherbrooke,West Broadway
239,Grey , Sherbrooke
240,Milton , Durocher
241,Fullum , de Rouen
242,Regina , de Verdun
243,Aylmer , Ste-Catherine
244,de Maisonneuve , Greene
245,Notre-Dame  , St-Martin
246,St-Dominique , St-Viateur
247,Louis-Hébert , Bélanger
248,Bloomfield , Bernard
249,4e avenue , de Verdun
250,des Érables , Laurier
251,Poupart , Logan
252,Pierre-de-Coubertin,Viau
253,Marquette , Laurier
254,Ste-Catherine , St-Mathieu
255,Notre-Dame , McGill
256,du Parc , François-Foucault
257,Lincoln , du Fort
258,des Écores , Beaubien
259,Chauveau,de l'Assomption
260,Jeanne-Mance , Fairmount
261,Bloomfield , Van Horne
262,Clark , de Liège
263,de Rouen,Valois
264,de Soissons , de Darlington
265,Marquette , Fleury
266,Léa-Roback , Sir-Georges-Etienne-Cartier
267,Rose-de-Lima , Workman
268,de Gaspé , de Liège
269,Ottawa , du Séminaire
270,Boyer , Jean-Talon
271,Marquette , Gillford
272,Desjardins , Ontario
273,Dézéry , Ontario
274,Vallières , St-Laurent
275,Poupart , Ontario
276,Jogues , Allard
277,Sewell , Roy
278,Notre-Dame,Liébert
279,Guizot , St-Laurent
280,Messier , St-Joseph
281,St-Hubert , René-Levesque
282,Ernest-Gendreau , du Mont-Royal
283,Hutchison , Beaubien
284,Marcil , Sherbrooke
285,la Fontaine , Alexandre-de-Sève
