(45.53229, -73.57544)
(45.50761, -73.551836)
(45.51941, -73.58685)
(45.489476, -73.584566)
(45.527432, -73.579917)
(45.502813, -73.576024)
(45.504242, -73.55347)
(45.532514, -73.584811)
(45.50038, -73.57507)
(45.49683, -73.57913)
(45.51059, -73.57547)
(45.497515, -73.552571)
(45.518593, -73.581566)
(45.529408, -73.578154)
(45.513303, -73.572961)
(45.4941996, -73.5599846)
(45.516427, -73.558112)
(45.5236149, -73.5924574)
(45.53536, -73.603635)
(45.490452, -73.560172)
(45.51086, -73.54983)
(-1.0, -1.0)
(45.525628, -73.581775)
(45.516091, -73.570129)
(45.517354, -73.582129)
(45.519088, -73.569509)
(45.5302211, -73.5769965)
(45.5128006, -73.5311159)
(45.5451997, -73.5764507)
(45.517, -73.589)
(45.51908, -73.5727)
(45.5201249, -73.5952138)
(45.536346, -73.57131)
(45.512541, -73.570677)
(45.524287, -73.604973)
(45.480208, -73.577599)
(45.509361, -73.573864)
(45.4949751, -73.5777704)
(45.53543, -73.5822)
(45.4875216, -73.565003)
(45.522719, -73.577204)
(45.5036663, -73.5695761)
(45.508141, -73.57493)
(45.5166644, -73.5772204)
(45.508567, -73.577698)
(45.50206, -73.56295)
(45.4918, -73.584006)
(45.544284, -73.54534)
(45.5082046, -73.5688144)
(45.473868, -73.604538)
(45.526991, -73.558212)
(45.5224026, -73.5811767)
(45.498112, -73.577615)
(45.5251603, -73.5992467)
(45.537041, -73.602026)
(45.515092, -73.581142)
(45.523027, -73.60184)
(45.52353, -73.55199)
(45.550306, -73.573353)
(45.527201, -73.564729)
(45.5206338, -73.563906)
(45.532265, -73.611063)
(45.529666, -73.567336)
(45.471669, -73.582644)
(45.5251147, -73.586006)
(45.516876, -73.57946)
(45.5254742, -73.5743251)
(45.522426, -73.574184)
(45.519216, -73.57718)
(45.522365, -73.584146)
(45.516897, -73.563949)
(45.518253, -73.588338)
(45.537114, -73.571003)
(45.52689, -73.57264)
(45.5435597, -73.627772)
(45.521564, -73.570367)
(45.507838, -73.563136)
(45.477605, -73.573775)
(45.5275891, -73.5890758)
(45.518967, -73.583616)
(45.530871, -73.598345)
(45.527795, -73.571939)
(45.529802, -73.57029)
(45.533314, -73.583737)
(45.5137229, -73.5603105)
(45.534136, -73.595478)
(45.5205595, -73.5858203)
(45.53696, -73.61199)
(45.509759, -73.576107)
(45.533706, -73.552179)
(45.5428981, -73.561846)
(45.521496, -73.596827)
(45.493029, -73.564818)
(45.4836285, -73.5797026)
(45.5359, -73.622443)
(45.5475583, -73.5754719)
(45.521342, -73.589419)
(45.495709, -73.576952)
(45.520688, -73.608428)
(45.53848, -73.60556)
(45.50623, -73.55976)
(45.524628, -73.595811)
(45.549598, -73.541874)
(45.5158684, -73.5600838)
(45.523856, -73.600127)
(45.54111, -73.54755)
(45.502145, -73.573427)
(45.52479, -73.56545)
(45.506511, -73.576669)
(45.5208024, -73.5757989)
(45.536785, -73.614888)
(45.506371, -73.564201)
(45.50367, -73.61848)
(45.478228, -73.569651)
(45.5243588, -73.5605344)
(45.515065, -73.55923)
(45.507402, -73.578444)
(45.5148664, -73.5847586)
(45.51069, -73.57805)
(45.520524, -73.567697)
(45.51829, -73.59235)
(45.531783, -73.597793)
(45.5303513, -73.6243924)
(45.5295036, -73.6048646)
(45.505359, -73.567741)
(45.4959617, -73.5732535)
(45.50723, -73.615085)
(45.537205, -73.579254)
(45.521751, -73.585268)
(45.54178, -73.555714)
(45.507078, -73.561395)
(45.537088, -73.593219)
(45.5070965, -73.5684416)
(45.472668, -73.58539)
(45.5340705, -73.5626507)
(45.512587, -73.573739)
(45.4938326, -73.5791422)
(45.5070762, -73.5722852)
(45.527009, -73.585766)
(45.5013987, -73.5717863)
(45.5319579, -73.607001)
(45.459488, -73.572092)
(45.524518, -73.571977)
(45.531674, -73.565413)
(45.5365054, -73.5680392)
(45.513405, -73.562594)
(45.5317737, -73.5724462)
(45.5351901, -73.6154822)
(45.514565, -73.568407)
(45.5278492, -73.5918613)
